name,size,year,absoluteLength,breitengrad,laengengrad
Allalingletscher,13,1900,7166,46045723,7934662
Allalingletscher,13,1901,7139,46045723,7934662
Allalingletscher,13,1902,7131,46045723,7934662
Allalingletscher,13,1903,7129,46045723,7934662
Allalingletscher,13,1904,7128,46045723,7934662
Allalingletscher,13,1905,7127,46045723,7934662
Allalingletscher,13,1906,7096,46045723,7934662
Allalingletscher,13,1907,7095,46045723,7934662
Allalingletscher,13,1908,7095,46045723,7934662
Allalingletscher,13,1909,7091,46045723,7934662
Allalingletscher,13,1910,7091,46045723,7934662
Allalingletscher,13,1911,7091,46045723,7934662
Allalingletscher,13,1912,7091,46045723,7934662
Allalingletscher,13,1913,7091,46045723,7934662
Allalingletscher,13,1914,7091,46045723,7934662
Allalingletscher,13,1915,7141,46045723,7934662
Allalingletscher,13,1916,7161,46045723,7934662
Allalingletscher,13,1917,7191,46045723,7934662
Allalingletscher,13,1918,7209,46045723,7934662
Allalingletscher,13,1919,7231,46045723,7934662
Allalingletscher,13,1920,7258,46045723,7934662
Allalingletscher,13,1921,7275,46045723,7934662
Allalingletscher,13,1922,7290,46045723,7934662
Allalingletscher,13,1923,7330,46045723,7934662
Allalingletscher,13,1924,7312,46045723,7934662
Allalingletscher,13,1925,7302,46045723,7934662
Allalingletscher,13,1926,7295,46045723,7934662
Allalingletscher,13,1927,7285,46045723,7934662
Allalingletscher,13,1928,7283,46045723,7934662
Allalingletscher,13,1929,7283,46045723,7934662
Allalingletscher,13,1930,7279,46045723,7934662
Allalingletscher,13,1931,7269,46045723,7934662
Allalingletscher,13,1932,7261,46045723,7934662
Allalingletscher,13,1933,7251,46045723,7934662
Allalingletscher,13,1934,7231,46045723,7934662
Allalingletscher,13,1935,7202,46045723,7934662
Allalingletscher,13,1936,7184,46045723,7934662
Allalingletscher,13,1937,7155,46045723,7934662
Allalingletscher,13,1938,7128,46045723,7934662
Allalingletscher,13,1939,7099,46045723,7934662
Allalingletscher,13,1940,7095,46045723,7934662
Allalingletscher,13,1941,6999,46045723,7934662
Allalingletscher,13,1942,7007,46045723,7934662
Allalingletscher,13,1943,7001,46045723,7934662
Allalingletscher,13,1944,7001,46045723,7934662
Allalingletscher,13,1945,7001,46045723,7934662
Allalingletscher,13,1946,6811,46045723,7934662
Allalingletscher,13,1947,6671,46045723,7934662
Allalingletscher,13,1948,6666,46045723,7934662
Allalingletscher,13,1949,6611,46045723,7934662
Allalingletscher,13,1950,6592,46045723,7934662
Allalingletscher,13,1951,6584,46045723,7934662
Allalingletscher,13,1952,6562,46045723,7934662
Allalingletscher,13,1953,6543,46045723,7934662
Allalingletscher,13,1954,6523,46045723,7934662
Allalingletscher,13,1955,6536,46045723,7934662
Allalingletscher,13,1956,6512,46045723,7934662
Allalingletscher,13,1957,6527,46045723,7934662
Allalingletscher,13,1958,6529,46045723,7934662
Allalingletscher,13,1959,6531,46045723,7934662
Allalingletscher,13,1960,6502,46045723,7934662
Allalingletscher,13,1961,6537,46045723,7934662
Allalingletscher,13,1962,6525,46045723,7934662
Allalingletscher,13,1963,6531,46045723,7934662
